cve_estac,nom_estac,longitud,latitud,obs_estac
ACO,Acolman,-98.912003,19.635501,Active
AJU,Ajusco,-99.162611,19.154286,Active
AJM,Ajusco Medio,-99.20774399999999,19.272160999999997,Active
ARA,Aragón,-99.074549,19.470218,Finalizó operación en 2010
ATI,Atizapan,-99.254133,19.576963,Active
AZC,Azcapotzalco,-99.198657,19.487728,Finalizó operación en 2010
BJU,Benito Juárez,-99.159596,19.370464000000002,Finalizó operación en 2005
CAM,Camarones,-99.169794,19.468404,Active
CCA,Centro de Ciencias de la Atmósfera,-99.17611099999999,19.326110999999997,Active
CES,Cerro de la Estrella,-99.074678,19.334731,Finalizó operación en 2010
CFE,Museo Tecnológico de la CFE,-99.19427900000001,19.414393,Finalizó operación en 1996
CHO,Chalco,-98.886088,19.266948,Active
COR,CORENA,-99.02604000000001,19.265345999999997,Active
COY,Coyoacán,-99.157101,19.350258,Active
CUA,Cuajimalpa,-99.29170500000001,19.365313,Active
CUI,Cuitláhuac,-99.165849,19.469859,Finalizó operación en 1993
CUT,Cuautitlán,-99.19860200000001,19.722185999999997,Active
DIC,Diconsa,-99.185774,19.298819,Active
EAJ,Ecoguardas Ajusco,-99.203971,19.271222,Active
EDL,Exconv. Desierto Leones,-99.31063499999999,19.313357,Active
FAC,FES Acatlán,-99.243524,19.482473000000002,Active
FAN,Felipe Ángeles,-99.17492,19.299126,Finalizó operación en 1996
GAM,Gustavo A. Madero,-99.09451700000001,19.4827,Active
HAN,Hangares,-99.083623,19.420517999999998,Finalizó operación en 2006
HGM,Hospital General de México,-99.15220699999999,19.411617,Active
IBM,Legaria,-99.21536,19.443319,Active
IMP,Inst. Mexicano del Petróleo,-99.14729399999999,19.487561,Finalizó operación en 2010
INN,Investigaciones Nucleares,-99.38051999999999,19.291968,Active
IZT,Iztacalco,-99.117641,19.384413000000002,Active
LAA,Lab. de Analisis Ambiental,-99.147312,19.483781,Active
LAG,Lagunilla,-99.135183,19.442420000000002,Finalizó operación en 2010
LLA,Los Laureles,-99.039644,19.578792,Active
LOM,Lomas,-99.242062,19.403,Active
LPR,La Presa,-99.11771999999999,19.534727,Active
LVI,La Villa,-99.117749,19.46789,Finalizó operación en 2010
MCM,Museo de la Cd. de México,-99.131924,19.429071,Active
MER,Merced,-99.11959399999999,19.42461,Active
MGH,Mguel Hidalgo,-99.20266,19.40405,Active
MIN,Metro Insurgentes,-99.162885,19.42144,Finalizó operación en 2007
MON,Montecillo,-98.90285300000001,19.460415,Active
MPA,Milpa Alta,-98.990189,19.1769,Active
NET,Netzahualcoyotl,-99.026119,19.42115,Finalizó operación en 2000
NEZ,Nezahualcóyotl,-99.028212,19.393734,Active
PED,Pedregal,-99.204136,19.325146,Active
PER,La Perla,-98.991858,19.38286,Finalizó operación en 2011
PLA,Plateros,-99.200109,19.365869,Finalizó operación en 2010
POT,Portales,-99.14576600000001,19.376494,Finalizó operación en 1996
SAG,San Agustín,-99.030324,19.532968,Active
SFE,Santa fe,-99.262865,19.357357,Active
SHA,Secretaría de Hacienda,-99.207868,19.446203,Active
SJA,San Juan Aragón,-99.086095,19.452592000000003,Active
SNT,San Nicolas Totolapan,-99.256462,19.250385,Active
SUR,Santa Ursula,-99.14999399999999,19.31448,Active
TAC,Tacuba,-99.202455,19.453907,Finalizó operación en 2010
TAH,Tlahuac,-99.010564,19.246458999999998,Active
TAX,Taxqueña,-99.123204,19.335689000000002,Finalizó operación en 2010
TEC,Cerro del Tepeyac,-99.11422900000001,19.487226999999997,Active
TLA,Tlalnepantla,-99.20459699999999,19.529076999999997,Active
TLI,Tultitlán,-99.177173,19.602542,Active
TPN,Tlalpan,-99.184177,19.257041,Active
UAX,UAM Xochimilco,-99.103629,19.304441,Active
UIZ,UAM Iztapalapa,-99.07388,19.360794,Active
UNM,Unidad Movil,-99.147137,19.482238,Active
VAL,Vallejo,-99.165702,19.522437,Finalizó operación en 2010
VIF,Villa de las Flores,-99.09659,19.658223,Active
XAL,Xalostoc,-99.0824,19.525995,Active
XCH,Xochimilco,-99.118252,19.267066,Finalizó operación en 1999
FAR,FES Aragón,-99.046176,19.473692,Active
SAC,Santiago Acahualtepec,-99.009381,19.34561,Active
